,score,time,label,n,subject,contrast
10889,0.03734086295638404,0.15,t1_s1_h0,1796,05,voiced
10890,0.005489771554450273,0.16,t1_s1_h0,1796,05,voiced
10891,-0.0075041192328326135,0.17,t1_s1_h0,1796,05,voiced
10892,-0.0001941555478049337,0.18,t1_s1_h0,1796,05,voiced
10893,0.0332336507492434,0.19,t1_s1_h0,1796,05,voiced
10894,0.04333860339858207,0.2,t1_s1_h0,1796,05,voiced
10895,0.05517729667596792,0.21,t1_s1_h0,1796,05,voiced
10896,0.06129245255709591,0.22,t1_s1_h0,1796,05,voiced
10897,0.06034264528178423,0.23,t1_s1_h0,1796,05,voiced
10898,0.026051885749649964,0.24,t1_s1_h0,1796,05,voiced
10899,-0.008717182045356752,0.25,t1_s1_h0,1796,05,voiced
10900,-0.005966594795259655,0.26,t1_s1_h0,1796,05,voiced
10901,0.004491697858451191,0.27,t1_s1_h0,1796,05,voiced
10902,0.009258479703883646,0.28,t1_s1_h0,1796,05,voiced
10903,0.009578306474422862,0.29,t1_s1_h0,1796,05,voiced
10904,0.01803979111002891,0.3,t1_s1_h0,1796,05,voiced
10905,0.03780601386904744,0.31,t1_s1_h0,1796,05,voiced
10906,0.06726679801142266,0.32,t1_s1_h0,1796,05,voiced
10907,0.0649706560530155,0.33,t1_s1_h0,1796,05,voiced
10908,0.024545964952397373,0.34,t1_s1_h0,1796,05,voiced
10909,-0.01728652821330542,0.35,t1_s1_h0,1796,05,voiced
10910,0.0039008573673064645,0.36,t1_s1_h0,1796,05,voiced
10911,0.010412695490601179,0.37,t1_s1_h0,1796,05,voiced
10912,-0.020685665380086354,0.38,t1_s1_h0,1796,05,voiced
10913,-0.006355327224166179,0.39,t1_s1_h0,1796,05,voiced
10914,0.0180851285055683,0.4,t1_s1_h0,1796,05,voiced
10915,0.024281907603388025,0.41,t1_s1_h0,1796,05,voiced
10916,0.010599049316179832,0.42,t1_s1_h0,1796,05,voiced
10917,0.008699322032824182,0.43,t1_s1_h0,1796,05,voiced
10918,-0.00014418602971319063,0.44,t1_s1_h0,1796,05,voiced
10919,-0.010202092033866838,0.45,t1_s1_h0,1796,05,voiced
10920,-0.008340995779972634,0.46,t1_s1_h0,1796,05,voiced
10921,-0.010682838194336344,0.47,t1_s1_h0,1796,05,voiced
10922,-0.009585329539137766,0.48,t1_s1_h0,1796,05,voiced
10923,-0.007191011732531092,0.49,t1_s1_h0,1796,05,voiced
10924,-0.012206760962496354,0.5,t1_s1_h0,1796,05,voiced
10925,-0.023325218856347425,0.51,t1_s1_h0,1796,05,voiced
10926,-0.01596001514238352,0.52,t1_s1_h0,1796,05,voiced
10927,-0.012588949648105972,0.53,t1_s1_h0,1796,05,voiced
10928,-0.012398791322096831,0.54,t1_s1_h0,1796,05,voiced
10929,-0.02154873900205826,0.55,t1_s1_h0,1796,05,voiced
10930,-0.014516256303456225,0.56,t1_s1_h0,1796,05,voiced
10931,3.4156443799267426e-05,0.57,t1_s1_h0,1796,05,voiced
10932,0.012548550268437224,0.58,t1_s1_h0,1796,05,voiced
10933,0.0008936981321438599,0.59,t1_s1_h0,1796,05,voiced
10934,-0.002997254683907794,0.6,t1_s1_h0,1796,05,voiced
10935,0.04381490160576543,-0.2,t1_s1_h1,1814,05,voiced
10936,0.016734001037706083,-0.19,t1_s1_h1,1814,05,voiced
10937,-0.039855599019240476,-0.18,t1_s1_h1,1814,05,voiced
10938,-0.02365592621044025,-0.17,t1_s1_h1,1814,05,voiced
10939,0.004289552468457495,-0.16,t1_s1_h1,1814,05,voiced
10940,-0.02159814849957013,-0.15,t1_s1_h1,1814,05,voiced
10941,-0.04163083075368701,-0.14,t1_s1_h1,1814,05,voiced
10942,-0.018636948645171486,-0.13,t1_s1_h1,1814,05,voiced
10943,0.039560564600640974,-0.12,t1_s1_h1,1814,05,voiced
10944,0.005967020825737023,-0.11,t1_s1_h1,1814,05,voiced
10945,-0.024488544703945393,-0.1,t1_s1_h1,1814,05,voiced
10946,-0.012854058789098287,-0.09,t1_s1_h1,1814,05,voiced
10947,0.034646705704577924,-0.08,t1_s1_h1,1814,05,voiced
10948,-0.03394551647113809,-0.07,t1_s1_h1,1814,05,voiced
10949,0.022201126791159844,-0.06,t1_s1_h1,1814,05,voiced
10950,-0.044059901673097986,-0.05,t1_s1_h1,1814,05,voiced
10951,0.002950663474250365,-0.04,t1_s1_h1,1814,05,voiced
10952,-0.04757289202868994,-0.03,t1_s1_h1,1814,05,voiced
10953,-0.009920839893295837,-0.02,t1_s1_h1,1814,05,voiced
